,구동,상권명,분기당매출,새벽,오전,점심,오후,저녁,야간,남성,여성,주중,주말,10대,20대,30대,40대,50대,60대이상,점포수
231,강남구 신사동,압구정역,3012530300,0,16,31,29,21,3,39,61,2268282079,744248221,71900785,777464104,703791304,538428186,368924686,162389301,118
232,강남구 압구정동,압구정로데오역(압구정로데오),1281771191,0,6,21,23,36,14,42,58,841614174,440157017,17182360,461772848,406757008,165264824,89436187,46015939,77
233,강남구 압구정동,압구정로데오역(압구정로데오),1719393754,0,5,21,21,31,22,43,57,1158673098,560720656,24177719,644354445,526256325,224826164,106641195,52980796,69
234,강남구 압구정동,압구정로데오역(압구정로데오),1609886246,0,5,22,26,35,12,43,58,1048399731,561486515,31498296,655102255,421097439,181311824,122575617,53702531,71
235,강남구 압구정동,압구정로데오역(압구정로데오),1842190061,4,5,21,21,29,20,42,58,1202933724,639256337,25763278,746432831,532322146,203820951,142731855,52743465,61
236,강남구 압구정동,한남IC,227205016,12,52,12,10,13,0,74,26,118067637,109137379,228220,57024152,109430198,33735549,6805419,4676238,12
237,강남구 압구정동,한남IC,585394438,3,12,5,3,65,12,91,9,396309626,189084812,2683612,156734472,223123140,72128874,16098126,5106931,13
238,강남구 압구정동,한남IC,70846284,0,25,35,31,9,0,55,45,58069494,12776790,819055,11902991,19031042,11726473,7126373,4640823,10
239,강남구 압구정동,한남IC,116740719,0,18,34,36,13,0,39,61,95485485,21255234,925928,23601523,30763313,14937541,14139084,6257325,12
240,강남구 역삼동,선정릉역,1284693559,1,16,40,24,18,2,49,51,1083630425,201063134,6426689,315683744,394077318,238019469,122807429,44231920,107
241,강남구 역삼동,선정릉역,1644572606,0,15,40,23,20,2,50,50,1363362646,281209960,7785434,391084596,539592304,302556614,145859415,66389672,106
242,강남구 역삼동,선정릉역,1444523589,0,17,40,22,18,3,49,51,1227631438,216892151,9428227,363251066,472404573,253618506,135643340,50578346,109
243,강남구 역삼동,선정릉역,1697674610,0,15,42,24,17,2,46,54,1432896364,264778246,8099700,464698328,528647667,266951428,143318418,67532451,105
244,강남구 역삼동,선정릉역 4번,29491383,3,0,18,27,39,14,57,43,20896143,8595240,0,11727318,13014646,2929050,1508363,312006,3
245,강남구 역삼동,선정릉역 4번,41236433,3,1,20,26,38,12,54,46,31369333,9867100,35391,20490361,13841076,3319836,1884374,1665395,4
246,강남구 역삼동,선정릉역 4번,31322229,3,0,23,26,35,13,57,43,22287332,9034897,29699,12260772,12718716,3693086,1825226,794730,3
247,강남구 역삼동,선정릉역 4번,98748279,0,1,31,28,25,15,58,42,81059471,17688808,288000,26808559,28646111,13825081,17336168,1805021,6
248,강남구 역삼동,강남언주로,198025934,0,12,50,20,16,3,54,46,166850809,31175125,1740954,48745743,70719094,36659708,18286621,6468036,30
249,강남구 역삼동,강남언주로,260265595,0,12,52,18,15,3,54,46,216610382,43655213,1879414,62353614,88858528,48966342,21780537,8695191,31
250,강남구 역삼동,강남언주로,263272829,0,15,47,19,16,3,55,45,217280590,45992239,2826920,57644783,87867764,45536922,26391608,8056847,32
251,강남구 역삼동,강남언주로,210682529,1,11,49,18,16,6,55,45,178966066,31716463,1563761,51998128,74376452,33002688,18115501,5513605,25
252,강남구 역삼동,강남역,12411864819,0,14,32,24,26,4,45,55,9530242652,2881622167,294005024,4617004305,3243926546,1727716263,1150111587,391754132,409
253,강남구 역삼동,강남역,14990600711,0,15,30,23,26,6,44,56,11365700768,3624899943,374371480,5690504740,3912279672,2064123247,1424342214,479887029,399
254,강남구 역삼동,강남역,13570941387,0,17,32,25,23,4,45,55,10373301507,3197639880,431415073,5184822588,3341156149,1876733575,1350451533,445008285,390
255,강남구 역삼동,강남역,17953454283,2,13,30,26,25,5,40,60,13229538409,4723915874,536244528,7666035506,4513819592,2174973166,1528391756,467600611,400
256,강남구 역삼동,개나리아파트,541796346,1,43,36,15,6,1,37,64,519128562,22667784,1545472,62661920,129243921,154108332,63297193,10327947,43
257,강남구 역삼동,개나리아파트,666896771,0,43,35,16,5,0,38,62,634238219,32658552,1850190,78186878,149066738,183987646,85475979,13536329,51
258,강남구 역삼동,개나리아파트,681022372,1,41,34,16,5,4,36,64,625286191,55736181,3186649,77427273,150245228,211809835,88545316,14821534,51
259,강남구 역삼동,개나리아파트,630824627,0,43,36,16,4,0,38,62,592015148,38809479,951846,80033722,137866278,188090186,88138995,15271226,50
260,강남구 역삼동,구역삼세무서,1499287837,1,17,42,21,17,2,52,48,1271827046,227460791,6189006,303686856,437816279,252281970,131628106,58186331,115
261,강남구 역삼동,구역삼세무서,2108928621,0,17,45,18,17,3,49,51,1833192690,275735931,5289508,447603637,556181456,341192036,192738898,72542024,122
262,강남구 역삼동,구역삼세무서,1788553557,0,19,41,21,16,2,49,51,1527194930,261358627,6609359,382450325,481749993,288295039,149127509,65222665,109
263,강남구 역삼동,구역삼세무서,1773483388,0,18,45,20,13,3,50,50,1553880559,219602829,8111551,393968970,486437167,266294510,118558219,60518130,97
264,강남구 역삼동,국기원,2404788303,0,0,19,37,43,1,31,69,1433058021,971730282,93481953,1584980547,416198280,108283954,173772457,28071112,26
265,강남구 역삼동,국기원,3443758172,0,0,20,34,45,1,30,70,2098632194,1345125978,121896296,2204451542,675368825,173220093,221111408,47710008,25
266,강남구 역삼동,국기원,2767434793,0,1,22,38,39,1,31,69,1715980737,1051454056,136135666,1757516843,509813659,146981803,185329317,31657505,26
267,강남구 역삼동,국기원,2564140275,0,1,18,39,39,3,30,70,1515571611,1048568664,137787878,1603783868,502572155,136455550,157598270,25942554,20
268,강남구 역삼동,도성초등학교,539100406,0,13,38,28,20,1,44,56,402980798,136119608,28160502,104995545,89981837,128951522,77770896,15286653,32
269,강남구 역삼동,도성초등학교,666897604,0,10,38,25,26,2,46,54,496536159,170361445,34794705,136610657,103161376,168792913,104571902,26825957,33
270,강남구 역삼동,도성초등학교,750986683,0,9,36,28,25,3,45,56,548453355,202533328,43594110,145942217,131820305,204746946,127127841,17230324,33
271,강남구 역삼동,도성초등학교,647159068,0,13,37,24,24,2,42,58,502628920,144530148,47497986,107026997,84893202,165784852,86264354,12720903,29
272,강남구 역삼동,도신초등학교,1813823,0,0,62,38,0,0,33,67,1813823,0,0,42718,93980,310135,538252,25631,3
273,강남구 역삼동,도신초등학교,5438906,0,2,69,18,11,0,18,82,4846829,592077,123883,593786,1157668,1506250,878290,205048,3
274,강남구 역삼동,도신초등학교,4789586,0,1,65,25,9,0,18,82,4315412,474174,48851,1190413,1089388,1923696,493094,44144,3
275,강남구 역삼동,도신초등학교,878290,0,0,95,5,0,0,20,80,878290,0,33589,153503,122566,418367,150265,0,2
276,강남구 역삼동,르네상스호텔사거리,1838620976,0,17,48,24,9,1,52,49,1589677388,248943588,1065365,295197676,534939235,325175266,181413615,87784420,76
277,강남구 역삼동,르네상스호텔사거리,2376454145,0,16,53,21,9,1,54,46,2053565000,322889145,2942656,387038070,703695167,396931949,256746903,115122051,80
278,강남구 역삼동,르네상스호텔사거리,2173314649,0,19,51,20,9,1,53,47,1954999755,218314894,6261453,372365956,632950912,366860471,206266154,96279940,85
279,강남구 역삼동,르네상스호텔사거리,2994076666,1,17,49,21,10,2,55,45,2513303730,480772936,20356119,543247751,767042874,451023001,286408516,155897901,94
280,강남구 역삼동,베르사이유1아파트,165408574,0,16,33,16,35,0,68,32,156471853,8936721,0,25498047,35732790,74237548,13500094,2619725,3
281,강남구 역삼동,베르사이유1아파트,139263320,0,20,44,22,13,2,54,46,130300096,8963224,104879,28081684,42094446,30975447,16549484,3809483,3
282,강남구 역삼동,베르사이유1아파트,97846304,0,20,49,21,10,1,54,46,92381310,5464994,186076,20204468,26718481,20941441,11499495,2805801,3
283,강남구 역삼동,베르사이유1아파트,12142867,0,25,47,17,11,0,55,45,12142867,0,146605,3405190,2704304,2747158,1972405,84580,1
284,강남구 역삼동,신논현역,4113470938,1,13,29,26,25,6,44,56,3073934647,1039536291,57994308,1534681611,1129210243,525919999,380622639,124501463,175
285,강남구 역삼동,신논현역,5093819230,1,13,29,25,25,8,44,56,3764017272,1329801958,83996060,1922905262,1419643818,650102945,453530440,148402092,184
286,강남구 역삼동,신논현역,4407383979,1,14,32,27,23,4,46,54,3339291420,1068092559,92227327,1565446357,1174298733,573717026,419183249,123166059,184
287,강남구 역삼동,신논현역,4788162672,1,12,30,25,26,6,45,55,3601383185,1186779487,93177456,1768405813,1251684104,606810270,451993879,129716093,171
288,강남구 역삼동,신논현역 1번,780029536,6,10,26,22,28,8,55,45,603847443,176182093,3776487,183800201,216532039,114150861,60509895,28784508,37
289,강남구 역삼동,신논현역 1번,857193114,3,6,28,23,29,12,50,50,676413467,180779647,4989558,198159876,235626682,125366231,101798368,27538408,40
290,강남구 역삼동,신논현역 1번,804747126,2,8,29,24,27,9,54,46,622703291,182043835,5126671,198379101,230192105,149492292,80167552,26882078,42
291,강남구 역삼동,신논현역 1번,818524832,3,9,33,23,22,11,56,44,631576386,186948446,4437978,186189765,254557101,120708663,72398905,38812686,40
292,강남구 역삼동,역삼역,8154908153,0,19,43,22,14,1,52,48,7277561085,877347068,13520158,1669650217,2270545963,1172515126,609240386,254308429,314
293,강남구 역삼동,역삼역,11108585246,0,20,44,21,14,2,51,49,9907323313,1201261933,25807696,2463368601,3183813511,1601382728,786925608,361734707,328
294,강남구 역삼동,역삼역,10916210871,0,21,45,21,12,1,52,49,9791036738,1125174133,34319226,2368855410,2959827518,1573381169,799678547,332082556,341
295,강남구 역삼동,역삼역,11953419557,0,20,44,20,14,2,52,49,10666444492,1286975065,36727459,2859983983,3332870567,1649055498,784638567,370490301,333
296,강남구 역삼동,역삼역 4번,103109132,0,15,51,24,10,0,51,49,91978072,11131060,44336,28065952,25572040,14429229,5873165,3269462,18
297,강남구 역삼동,역삼역 4번,157954023,0,12,50,21,9,7,48,52,140517865,17436158,99913,37507264,38339571,24381607,9163806,13969804,18
298,강남구 역삼동,역삼역 4번,107527699,0,14,49,26,11,1,53,47,91456694,16071005,219863,29001164,28994232,15360910,9691709,1815107,15
299,강남구 역삼동,역삼역 4번,96988281,0,11,57,22,10,1,55,45,84407408,12580873,228859,23912347,27350481,10858071,8163406,1963999,14
300,강남구 역삼동,역삼역 8번,33574803,5,23,27,23,17,5,51,49,25909640,7665163,499627,5506042,9297423,5763732,2266329,1036160,10
301,강남구 역삼동,역삼역 8번,82518842,1,15,33,25,19,6,49,51,57410249,25108593,2045849,15067289,24582670,19594903,9993248,2574556,12
302,강남구 역삼동,역삼역 8번,91181567,1,18,30,25,20,6,54,46,63596580,27584987,1555944,17925639,26840127,19648573,11952923,3845614,13
